session_id,station_id,start_time,end_time,charge_time_hrs,kwh_total
0,ST-010,2023-01-01 16:26:00,2023-01-01 20:03:43.239574810,3.63,10.11
1,ST-008,2023-01-01 13:58:00,2023-01-01 16:05:13.832001075,2.12,9.28
2,ST-013,2023-01-01 16:27:00,2023-01-01 19:53:00.061161053,3.43,15.3
3,ST-007,2023-01-01 14:49:00,2023-01-01 16:17:07.856560344,1.47,7.57
4,ST-014,2023-01-01 16:03:00,2023-01-01 18:29:24.320064539,2.44,10.18
5,ST-011,2023-01-01 17:21:00,2023-01-01 19:39:52.432637462,2.31,8.9
6,ST-012,2023-01-01 15:11:00,2023-01-01 18:07:18.718358052,2.94,14.17
7,ST-012,2023-01-01 21:40:00,2023-01-01 23:40:44.287129218,2.01,7.32
8,ST-014,2023-01-01 15:22:00,2023-01-01 19:13:17.160304554,3.85,16.62
9,ST-011,2023-01-01 09:28:00,2023-01-01 12:44:50.560843402,3.28,16.66
10,ST-003,2023-01-01 08:49:00,2023-01-01 11:58:06.426439078,3.15,11.87
11,ST-007,2023-01-01 13:48:00,2023-01-01 16:33:44.734737869,2.76,14.77
12,ST-010,2023-01-01 15:08:00,2023-01-01 17:42:51.941580192,2.58,12.22
13,ST-012,2023-01-01 07:39:00,2023-01-01 09:45:59.020345336,2.12,7.9
14,ST-008,2023-01-01 11:34:00,2023-01-01 15:51:38.146464532,4.29,16.3
15,ST-010,2023-01-01 06:28:00,2023-01-01 08:33:53.296670461,2.1,9.72
16,ST-009,2023-01-01 15:33:00,2023-01-01 19:00:07.260056063,3.45,14.14
17,ST-006,2023-01-01 16:26:00,2023-01-01 18:42:13.565316511,2.27,6.16
18,ST-001,2023-01-01 09:14:00,2023-01-01 12:19:47.734414312,3.1,14.05
19,ST-007,2023-01-01 11:39:00,2023-01-01 14:20:24.891465451,2.69,13.71
20,ST-007,2023-01-01 14:24:00,2023-01-01 16:06:20.479934592,1.71,6.42
21,ST-002,2023-01-01 08:05:00,2023-01-01 11:10:03.721116993,3.08,12.16
